Organization Name,Organization Name URL,Actively Hiring,Founded Date,Founded Date Precision,Number of Employees,Full Description,Industries,Headquarters Location,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Description,CB Rank (Company),Last Funding Date,Funding Status,Number of Funding Rounds,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD)
The Edit LDN,https://www.crunchbase.com/organization/the-edit-ldn,,2020-01-31,day,11-50,"A Global Online Destination for Limited Sneakers and High End Streetwear. Featured in The Times, GQ, Hypebeast, Forbes, and more. Brands we carry include: Jordan, Yeezy, New Balance, Travis Scott, Dior, Off-White, CPFM, KITH, to name a few... Being self-confessed sneaker-heads, we identified a gap in the market and established The Edit LDN to digitally connect investors and owners of sneakers with buyers, redefining a market forecasted to hit $30B by 2030. Turning a passion into a multi million pound business in just 2.5 years, the business has grown 500% Year on Year and is on track to scale further into USA & UAE this year. We became:  *The 1st Reseller to enter Harrods, now on 3 floors. *The 1st Global Sneaker Marketplace to pledge to removing 1KG of plastic from the oceans with every sale through their platform - PreLoved Marketplace launching 2022. *The 1st Global Sneaker Marketplace to accept Crypto, entering the Metaverse via Bloktopia, 2022 *The 1st Global Sneaker Marketplace to deliver a Same Day Service We will be the most Disruptive, and most Innovative Sneaker & Streetwear Marketplace, Globally. Further Highlights include: *Harrods - 2,000 SQ FT space in Iconic Department Store, now across 3 floors. *Global Partnership with Threads Styling - UK & USA *Included in Klarna's Heartbeat 4 Sneakers Week alongside Size, Footlocker and Adidas *Collaboration with Defected Records *Collaboration with McQueen *Collaboration with Adora Swim","E-Commerce, E-Commerce Platforms","London, England, United Kingdom",4800000,USD,4800000,A Global Online Marketplace for Limited Sneakers & Streetwear,"8,856",2023-01-17,Seed,1,Seed,4800000,USD,4800000
Monaverse,https://www.crunchbase.com/organization/mona-gallery-inc,,2021-06-14,day,11-50,"Mona’s mission is to empower people around the world to create, collect, and share high quality immersive experiences on the blockchain, growing the Open Metaverse. Mona is the medium of the metaverse.","3D Technology, Art, Augmented Reality, Blockchain, Cryptocurrency, Ethereum, Software, Virtual Reality","Miami, Florida, United States",14600000,USD,14600000,"Mona is the premier web3 metaverse world building platform and social network built for creators, by creators.","9,411",2022-06-30,Early Stage Venture,2,Series A,14600000,USD,14600000
Sidus Heroes,https://www.crunchbase.com/organization/sidus-heroes,,2021-01-01,year,101-250,,"Blockchain, Cryptocurrency, Gaming, Online Games","Sydney, New South Wales, Australia",,,,"Next-generation AAA+ browser gaming metaverse. Play to earn, rule the Sidus Station with your Guild.","10,301",2022-02-07,Seed,4,Grant,21000000,USD,21000000
RedRex,https://www.crunchbase.com/organization/pinklion-ai,,2020-01-01,year,1-10,"RedRex is a metaverse that develops virtuals building for schools, communities, businesses, and online events. The company's digital buildings, floors, rooms, and walls for easy transition between remote and in-person collaboration. It utilizes premium tools to monetize the property through renting, sponsorships, ticket sales, and other means. They believe that everyone should have access to a digital space where they can build a community, work flexibly, and connect meaningfully from anywhere in the world. RedRex was founded in 2020 and is headquartered in Minneapolis, Minnesota.","Collaboration, Meeting Software, Social Network, Video Chat, Virtual Workforce","Minneapolis, Minnesota, United States",1000000,USD,1000000,"RedRex is a metaverse that develops virtuals building for schools, communities, businesses, and online events.","10,383",2023-02-14,,4,Venture - Series Unknown,1000000,USD,1000000
Undeads Metaverse,https://www.crunchbase.com/organization/undeads,,2022-01-17,day,51-100,"Undeads Metaverse is a AAA role-play survival game built on the blockchain. The product is aimed to reshape GameFi and bring rich gameplay, efficient economy and finest sound design from traditional gaming to the crypto space. Explore the post-apocalyptic metaverse, craft in-game NFTs, fight for crypto and defend, construct buildings, work and hire workers, and much more in the upcoming play-to-earn gem.  Led by ex-PayPal VP Leo Kahn and ex-Animoca Marketing Executive Ashley Hodgetts. Developed by international team of over 60 talents from 8 countries, and a wide network of world-class partners from gaming, crypto, fintech, sound design and marketing sector.","Bitcoin, Blockchain, Cryptocurrency, Finance, Gaming, Information Technology","Dubai, Dubai, United Arab Emirates",850000,USD,850000,NextGen Web3 survival game on the blockchain. Explore post-apocalyptic metaverse and earn crypto while enjoying rich and exciting gameplay.,"10,642",2022-12-27,Seed,2,Seed,850000,USD,850000
Createra,https://www.crunchbase.com/organization/createra,,2022-01-01,year,51-100,Createra is a web3 company that allows users to create infinitely engaging 3D worlds and games. It is based on the fundamental belief that creativity is a talent that everyone possesses.,"Content Creators, Gamification, Gaming, Web Development","Hong Kong, Hong Kong Island, Hong Kong",10000000,USD,10000000,Createra is a UGC gaming metaverse platform that enable creators to build infinitely engaging 3D worlds and games.,"11,661",2023-01-16,Early Stage Venture,1,Series A,10000000,USD,10000000
Whop,https://www.crunchbase.com/organization/whop-rentals,,2020-12-01,day,1-10,,"E-Commerce, Internet, Marketplace","New York, New York, United States",1000002,USD,1000002,"Marketplace of the metaverse; buy, sell, and rent digital products.","11,983",2022-01-01,,1,Venture - Series Unknown,1000002,USD,1000002
Exclusible,https://www.crunchbase.com/organization/exclusible,,2021-01-01,year,11-50,"Exclusible empowers brands and communities by expanding the possibilities of both the physical and digital universes. With the purpose of building a new generation of the web that will be culturally relevant, accessible to everyone and unlimited in its possibilities for creation and creativity, Exclusible offers brands endless opportunities by pushing the boundaries of Metaverse and Web3. Exclusible was established in 2021 by Pierre Guigourese in Lisboa, Portugal.","Digital Marketing, Marketplace","Lisbon, Lisboa, Portugal",5000000,EUR,4981076,Exclusible is creating an NFT marketplace for luxury brands.,"12,642",2022-10-25,,2,Venture - Series Unknown,5000000,EUR,4981076
Nümi,https://www.crunchbase.com/organization/nümi,,2021-01-01,year,101-250,"Nümi is an online entertainment ecosystem for influencers, creators and gamers that shifts the perception of what is possible in a digital universe. With the tools provided by Nümi, VR users can create immersive experiences and explore thousands of virtual worlds built by communities.","Content Creators, Digital Entertainment, Gaming, Video Streaming, Virtual Reality","Abu Dhabi, Abu Dhabi, United Arab Emirates",20000000,USD,20000000,"Nümi is an online entertainment ecosystem for user-generated content (UGC), gaming, streaming, and more.","12,655",2023-01-11,Seed,1,Seed,20000000,USD,20000000
Enjinstarter,https://www.crunchbase.com/organization/enjinstarter,,2021-01-01,year,1-10,Enjinstarter is a blockchain gaming launchpad focused on growing the Enjin ecosystem and the metaverse.,"Blockchain, Gaming","Singapore, Central Region, Singapore",5000000,USD,5000000,Enjinstarter is a blockchain gaming launchpad focused on growing the Enjin ecosystem and the metaverse.,"14,211",2022-01-20,Early Stage Venture,2,Series A,5000000,USD,5000000
Delysium,https://www.crunchbase.com/organization/delysium,,2022-01-01,year,,"Delysium is a playable AAA MMO blockchain game. A real open-world and AI-powered metaverse of the players, by the players, for the players.","Blockchain, Cryptocurrency","San Francisco, California, United States",10000000,USD,10000000,Delysium is a playable AAA MMO web3 game.,"15,104",2022-10-17,,2,Venture - Series Unknown,10000000,USD,10000000
Kryptomon,https://www.crunchbase.com/organization/kryptomon,,2021-08-01,day,11-50,"Kryptomon is an NFT Play-and-Earn blockchain game, where Pokémon meets Tamagotchi and CryptoKitties. Breed, Train and Fight with your NFT Kryptomon. It's a new world where trainers can live a new adventure on Blockchain. Set in the Kryptomon metaverse, community members play as ‘Trainers’ of their own individual monsters — Kryptomons — each of which is a completely unique digital asset connected to an NFT. Each has a unique but mutable genetic code made up of 38 randomised parameters that determine all of the aspects — physical and behavioral — of the creature. This not only ensures that each Kryptomon is unique but also brings to life each Kryptomon as a digital companion in the Kryptomon metaverse. They are capable of learning, falling sick, getting hungry, and protecting their trainers when out on an adventure in the physical world. In turn, trainers will have to care for, feed, and train their Kryptomon partners in order to grow and prepare for the battles ahead. Kryptomon creates the next step in the evolution of crypto-gaming by using advanced blockchain technologies, digital genetics, and location-based technologies. So what are you waiting for? Play and participate in the Kryptomon league to become the Kryptomon Metaverse Champion!","Augmented Reality, Blockchain, Cryptocurrency, Gaming","Amsterdam, Noord-Holland, The Netherlands",10000000,USD,10000000,Kryptomon is an NFT Game where Pokémon meets Cryptokitties and Tamagotchi Telegram official channel: http://t.me/Kryptomon,"15,654",2022-05-31,Early Stage Venture,2,Series A,10000000,USD,10000000
Pluto Digital,https://www.crunchbase.com/organization/pluto-digital-assets,,2021-01-01,month,11-50,"Pluto Digital PLC (Pluto) is a crypto technology and operations company that makes Web 3.0 Decentralised Finance (DeFi) more accessible to all. Pluto is making DeFi available to everyone through products and services created by Pluto’s software development Labs division, new yield farming strategies through Pluto’s Yield division and collaborating with emerging DeFi projects and the NFT metaverse through Pluto’s Ventures division.","Cryptocurrency, Finance, Financial Exchanges","London, England, United Kingdom",32000000,GBP,44576937,Pluto Digital brings decentralized technologies to the global economy.,"16,168",2021-03-10,M&A,1,Venture - Series Unknown,32000000,GBP,44576937
Hypersonic Laboratories,https://www.crunchbase.com/organization/hypersonic-laboratories,,2019-08-01,month,11-50,"Hypersonic Laboratories is a startup based in Los Angeles developing HELIX, a high-fidelity metaverse platform.",,"Los Angeles, California, United States",3500000,USD,3500000,"Hypersonic Laboratories is a startup based in Los Angeles developing HELIX, a high-fidelity metaverse platform.","16,843",2022-09-01,Seed,2,Pre-Seed,3500000,USD,3500000
Kinetix,https://www.crunchbase.com/organization/kinetix-661c,,2020-01-01,year,11-50,Kinetix is a no-code 3D creation tool that leverages artificial intelligence motion capture to convert videos into 3D animations.,"3D Technology, Animation, Artificial Intelligence, Gaming, Software, Virtual World","Paris, Ile-de-France, France",,,,Kinetix empowers self-expression in the Metaverse with artificial intelligence and no code tools allowing everyone to create 3D animations.,"17,780",2022-12-28,Seed,3,Seed,,,
Zaiko,https://www.crunchbase.com/organization/zaiko,,2019-01-11,day,51-100,"Zaiko gives creators the services and data they need to succeed. Creators use Zaiko ecosystem as their Salesforce and Shopify, providing creators with Ticketing, Digital Events, E-commerce, Saas, Web3, NFT, Metaverse, Fanclubs, and more. Creators can, through Zaiko products, maximize the understanding and development of fans leading to better interactions and monetization opportunities. Zaiko is also a consumer destination for the discovery of creators and the services they provide.","Content Creators, E-Commerce, Events, Internet, Media and Entertainment, Ticketing","Tokyo, Tokyo, Japan",,,,"Zaiko is a Creator Empowerment Platform that enables Epic Fan Experiences through co-creation, co-ownership and exclusive experiences.","18,074",2021-07-01,,6,Venture - Series Unknown,,,
Collective Shift,https://www.crunchbase.com/organization/collective-shift-64ce,,2020-10-20,day,11-50,"Collective Shift gives investors and traders access to a suite of tools, expert daily insights, opportunity alerts, and a thriving community. The metaverse is in its infancy. It is still often messy, volatile, challenging, and untrustworthy. Investors and traders are hungry for opportunities and want to maximise returns during this once-in-a-lifetime exponential wealth transfer. Determining how to properly position themselves, allocate their portfolios, and identify what to invest in is almost impossible. ost resort to reactive behaviours and FOMO their way into projects because of hype and promise. Sadly, many people end up making poor investment decisions and are left wondering how they’re losing when seemingly everyone else is winning. According to research by Cardify, over 1 in 3 buyers admit they “know little to nothing about cryptocurrency as a whole”. And no wonder. To actually make informed, proactive, educated decisions and have both a macro and micro level awareness of the industry as one individual person is virtually impossible.","Cryptocurrency, FinTech, Information Technology","Melbourne, Victoria, Australia",1500000,AUD,1048200,"Collective Shift gives investors and traders access to a suite of tools, daily insights, opportunity alerts, and a thriving community.","18,097",2023-01-17,Seed,1,Seed,1500000,AUD,1048200
Ancient8,https://www.crunchbase.com/organization/ancient8,,2021-01-01,year,51-100,"Ancient8 is developing the infrastructure for GameFi, with a focus on software and community. Ancient8 is building GameFi Identity and Launchpad products to serve as the marketing distribution channel for GameFi and Metaverse projects to onboard millions of users. Ancient8 manages Vietnam’s largest blockchain gaming guild, and enables everyone to build the Metaverse through blockchain software products, guild scholarship, blockchain education, institutional-grade research, and community. Ancient8’s vision is to democratize social and financial access in the Metaverse. Ancient8 is backed by leading investors including Pantera, Dragonfly, Hashed, Makers Fund, C² Ventures, Mechanism, Coinbase, Alameda, IOSG, Animoca,  among others.","Blockchain, Communities, Gaming, Software","Ho Chi Minh City, NA - Vietnam, Vietnam",6000000,USD,6000000,"Ancient8 develops the infrastructure layer for GameFi, focusing on community and software.","18,290",2022-06-08,Seed,3,Seed,6000000,USD,6000000
ZELF,https://www.crunchbase.com/organization/zelf,,2019-07-01,month,11-50,"ZELF is a neobank fintech company focused on younger generations, with a mission to democratize financial services worldwide. Operating in the EU and the US, the company provides access to banking within popular social messengers – WhatsApp, Facebook Messenger, Discord, Telegram, and Viber. In June 2022 ZELF launched a product campaign ""Bank of the Metaverse"" bringing game loot, NFTs and fiat under one banking roof.","Apps, Financial Services, FinTech, Transaction Processing","Wilmington, Delaware, United States",1500000,USD,1500000,"ZELF is a Bank of the Metaverse, instant card for dollars, game loot, and NFTs with crypto recharge","18,629",2022-02-01,Seed,2,Convertible Note,2000000,USD,2000000
Tamadoge,https://www.crunchbase.com/organization/tamadoge,,2022-07-01,month,,"Tamadoge is a metaverse meme coin that allows users to create, breed, care for, and battle their Tamadoge pets.","Cryptocurrency, Information Technology",,19000000,USD,19000000,"Tamadoge is a metaverse meme coin that allows users to create, breed, care for, and battle their Tamadoge pets.","18,695",2022-08-17,,1,Initial Coin Offering,19000000,USD,19000000
Mytaverse,https://www.crunchbase.com/organization/mytaverse,,2020-01-01,year,11-50,"Founded in 2020, Miami-based Mytaverse, Inc. was formed to meet the rising demand for 3D, digitally visualized, hybrid workspaces.  As a fully immersive ecosystem using Epic Games Unreal Engine, GathR utilizes dynamic experiences for job simulations, interactive meetings, and 3D asset-rich showrooms. Mytaverse's hardware-agnostic approach allows users to enter from anywhere using only their browser on a PC or Mac. The GathR mobile app will be available soon, allowing users to interact with us from any location and at any time. the hardware-agnostic approach allows users from anywhere to enter using only their browser on a PC or Mac. The Mytaverse mobile version will be available soon, allowing users to interact with us from anywhere, at any time.","Augmented Reality, Information Technology, Training, Virtual Workforce","Miami, Florida, United States",7600000,USD,7600000,Mytaverse is a cloud-based platform that provides 3D multiplayer virtual and augmented meetings and workspaces.,"18,924",2022-04-18,Early Stage Venture,2,Series A,7600000,USD,7600000
Metahood,https://www.crunchbase.com/organization/metahood,,2022-01-01,year,1-10,"Metahood offers services for discovering, purchasing, and selling land in the open metaverse.","Blockchain, Information Technology","New York, New York, United States",3000000,USD,3000000,"Metahood offers services for discovering, purchasing, and selling land in the open metaverse.","19,680",2023-01-18,Seed,1,Seed,3000000,USD,3000000
Space Runners,https://www.crunchbase.com/organization/space-runners,,2021-08-04,day,1-10,"Space Runners is the first Metaverse Fashion brand focused on cross-chain/interoperable fashion items that can be plugged into any Web3.0 Metaverse and games.  Our belief is that there are many players working on Metaverses and games, but not enough players working on what users will wear as items in the Metaverse. We collaborate with artists/brands to provide an end-to-end service on design, 3D modeling, marketing, engineering to co-launch a fashion NFT collection that can be plugged into different metaverses.  Below are some key points about the project: * Largest NFT community on Solana with 500k+ members across Twitter, Discord, and Instagram  * 1st collection sold out in 9 minutes on Dec 23rd: the 10,000 ""NBA Champions Collection"" with Kyle Kuzma & Nick Young * Consistent Top 1-5 trading volume on Solana since launch * NFTs integrate with games, metaverses and virtual events, wherein each shoe has differentiated power and speed. Our overall vision is to become the first end-to-end digital fashion ecosystem on blockchain as the largest supplier of fashion items.","3D Technology, Blockchain, Consulting, Fashion, Sports","Houston, Texas, United States",10000000,USD,10000000,Space Runners is the Metaverse Fashion brand focused on cross-chain fashion items that can be plugged into any metaverses and games.,"19,998",2022-03-07,Seed,2,Seed,10000000,USD,10000000
Bit.Country Network,https://www.crunchbase.com/organization/bit-country-network,,2021-03-01,month,11-50,"Bit.Country enables everyone to start their own metaverse for their people with token economy and NFT, and takes community engagement to a new dimension on web3.0. While our team is excited about web3.0 development, our destiny is to create a network that brings real-world impact. We want to provide ordinary people with opportunities of value access in this paradigm shift. Our vision and dream come true when the common people of the world are able to earn a modest income by contributing to their Bit.Country communities; and Bit.Country owners distribute value to their followers by generating greater influence through network expansion.",Blockchain,"Singapore, Central Region, Singapore",,,,Network for user-created metaverses & games.,"20,409",2021-12-02,,4,Initial Coin Offering,,,
Bloktopia,https://www.crunchbase.com/organization/bloktopia,,2021-01-01,year,1-10,"Bloktopia is the virtual reality metaverse that will allow users to Learn, Earn, Play, and Create and provides a central hub for everything cryptocurrency",Media and Entertainment,"Douglas, NA - Isle of Man, Isle of Man",4200000,USD,4200000,"Bloktopia is the virtual reality metaverse that will allow users to Learn, Play, and provides a central hub for everything cryptocurrency.","20,635",2021-09-23,Seed,1,Seed,4200000,USD,4200000
Oncyber,https://www.crunchbase.com/organization/cyber,,2021-02-01,month,1-10,"Cyber is a metaverse company that lets artists and collectors construct and sell their 3D virtual showrooms for non-fungible tokens(NFTs). The company was founded in 2021 and is based in New York, USA.","3D Technology, Blockchain, Ethereum","New York, New York, United States",6700000,USD,6700000,Cyber is a metaverse company that lets artists and collectors construct and sell their 3D virtual showrooms for non-fungible tokens(NFTs).,"21,086",2022-01-20,Seed,1,Seed,6700000,USD,6700000
N.Light,https://www.crunchbase.com/organization/n-light,,2020-01-01,year,,N.Light is a Metaverse 3D design software that allows individuals to effortlessly turn their ideas into reality.,"3D Technology, Information Technology, Media and Entertainment","Seongnam, Kyonggi-do, South Korea",8000000000,KRW,6344951,N.Light is a Metaverse 3D design software that allows individuals to effortlessly turn their ideas into reality.,"21,418",2023-02-08,Early Stage Venture,2,Series A,8000000000,KRW,6344951
Affyn,https://www.crunchbase.com/organization/affyn,,2020-01-01,year,11-50,"Affyn is a Blockchain-powered metaverse project developing a free-to-play and play-to-earn mobile game with integrated geolocation and augmented reality capability. Making use of geolocation capability and AR mechanics, it incorporates the fun element of gaming with Blockchain technology such as the utility of NFTs and their official currency and ensures that the rewards stay attractive to both new and existing players. Affyn was founded by Lucaz Lee.","Augmented Reality, Blockchain, Cryptocurrency, Gaming","Singapore, Central Region, Singapore",20000000,USD,20000000,Affyn is a metaverse project that operates a Blockchain-based game startup to create a sustainable gaming economy.,"21,498",2022-01-13,,2,Initial Coin Offering,20000000,USD,20000000
Metaverse AI,https://www.crunchbase.com/organization/vera-ai,,2020-01-01,year,51-100,"Building the Open Metaverse with interoperable infra, dApps, virtual celebrities and 3D VR/AR tech.","Blockchain, Information Technology, Software","San Francisco, California, United States",6000000,USD,6000000,"Building the Open Metaverse with interoperable infra, dApps, virtual celebrities and 3D VR/AR tech.","21,509",2021-04-01,Seed,2,Seed,6000000,USD,6000000
Supersocial,https://www.crunchbase.com/organization/supersocial,,2020-01-01,year,11-50,"Supersocial is an indie games studio focused on creating insanely fun games for the metaverse, starting with Roblox.","Developer Platform, Gaming, Social Network","Brooklyn, New York, United States",5200000,USD,5200000,"Supersocial is an indie games studio focused on creating insanely fun games for the metaverse, starting with Roblox.","22,157",2021-09-24,Seed,2,Seed,5200000,USD,5200000
Moonbit,https://www.crunchbase.com/organization/moonbit,,2022-05-17,day,1-10,"Moonbit is a crypto Robo Advisor that offers investment portfolios curated by our quant team. We currently provide Blue chip, Defi Metaverse and Web3.0 portfolios. Our portfolios only invest in cryptocurrencies with positive signals. No more 50% drawdowns.","Cryptocurrency, FinTech","Budapest, Budapest, Hungary",500000000,KRW,385258,Crypto Robo Adviory,"23,462",2022-06-22,Seed,1,Pre-Seed,500000000,KRW,385258
Polemos,https://www.crunchbase.com/organization/polemos,,2021-11-15,day,11-50,"Polemos is a global GameFi platform that is the first decentralized combination of its own asset lending library, educational hub, and gaming community. Polemos’ overarching vision is to improve employment and education worldwide by developing a platform that focuses on Metaverse Adoption, Community Engagement and Esports Dominance in Web3.  Their mission is to become one of the world’s leading Decentralized Autonomous Organizations (DAO) and bring tens of millions of global digital Asset Providers and Gamers together inside a unified GameFi ecosystem. By bridging esports and DeFi communities, we will revolutionize gaming and create unique Play To Earn opportunities unlike anything ever seen before!","Blockchain, Cryptocurrency, E-Learning, Gaming, Video Games","Singapore, Central Region, Singapore",14000000,USD,14000000,"Polemos is a GameFi platform - the first decentralized combination of its own asset lending library, educational hub, and gaming community.","24,164",2022-04-04,Seed,2,Seed,14000000,USD,14000000
Spaceport Technologies,https://www.crunchbase.com/organization/spaceport-technologies,,2022-01-01,year,1-10,Spaceport Technologies offers a wide range of tools for creators to monetize IP in the metaverse.,"Information Technology, Intellectual Property, Software","Boston, Massachusetts, United States",3600000,USD,3600000,Spaceport Technologies offers a wide range of tools for creators to monetize IP in the metaverse.,"24,297",2022-12-14,Seed,1,Pre-Seed,3600000,USD,3600000
